precio,metraje,lugar,titulo,url
95.000,33,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/497050.html
150.000,74,"Madrid, San Blas",Casa en venta,https://www.tecnocasa.es/venta/casa/madrid/madrid/539378.html
170.000,72,"Madrid, Moncloa - Aravaca",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542321.html
255.000,69,"Madrid, Moratalaz",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/540367.html
159.000,150,"Madrid, Puente De Vallecas",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/521655.html
1.040.000,439,"Madrid, Puente De Vallecas",Edificio en venta,https://www.tecnocasa.es/venta/edificio/madrid/madrid/526054.html
210.000,59,"Madrid, Moncloa - Aravaca",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542241.html
220.000,89,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544386.html
205.000,81,"Madrid, Usera",Casa en venta,https://www.tecnocasa.es/venta/casa/madrid/madrid/539308.html
239.000,106,"Madrid, Puente De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542373.html
135.000,67,Madrid,Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/208210.html
129.000,40,"Madrid, Centro",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543752.html
850.000,220,"Madrid, Chamberí",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543519.html
350.000,101,"Madrid, Chamberí",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/542880.html
150.000,43,"Madrid, Arganzuela",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/536114.html
87.260,60,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/535987.html
105.000,49,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544993.html
150.000,67,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543661.html
320.000,111,"Madrid, San Blas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/539872.html
259.999,119,"Madrid, San Blas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/538657.html
137.000,62,"Madrid, Vicálvaro",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543083.html
169.000,70,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544963.html
132.000,67,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544894.html
349.000,57,"Madrid, Centro",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/539369.html
160.000,82,"Madrid, Puente De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/540966.html
595.000,348,"Madrid, Hortaleza",Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/madrid/madrid/535717.html
120.000,40,"Madrid, Retiro",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/503135.html
595.000,104,"Madrid, Arganzuela",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543488.html
630.000,139,"Madrid, Arganzuela",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/540137.html
99.050,60,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544567.html
97.260,65,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544379.html
